Date,AAPL,MSFT,XOM,BP
2015-04-20,31.899999618530273,42.90999984741211,87.23999786376953,42.81999969482422
2015-04-21,31.727500915527344,42.63999938964844,86.87999725341797,42.77999877929688
2015-04-22,32.154998779296875,42.9900016784668,87.45999908447266,43.2400016784668
2015-04-23,32.41749954223633,43.34000015258789,87.54000091552734,43.599998474121094
2015-04-24,32.56999969482422,47.86999893188477,86.97000122070312,43.459999084472656
2015-04-27,33.16249847412109,48.02999877929688,87.01000213623047,43.040000915527344
2015-04-28,32.639999389648445,49.15999984741211,87.80000305175781,43.47999954223633
2015-04-29,32.15999984741211,49.06000137329102,87.87000274658203,43.59000015258789
2015-04-30,31.28750038146973,48.63999938964844,87.37000274658203,43.15999984741211
2015-05-01,32.237499237060554,48.65999984741211,88.8499984741211,43.22999954223633
